source_id,source_label,source_name,source_lane,target_id,target_label,target_name,target_lane,edge_type,score
node_6,exclusiveGateway,®,lane_5,node_13,task,Mpocmarpneare cTpannuy,lane_5,sequenceFlow,0.999
node_19,task,ICosgare Hoayio cTpannuy,lane_3,node_7,exclusiveGateway,>,lane_3,sequenceFlow,0.999
node_21,task,© Tiparnacirs ysacraikos / yeranoaiets —"poctynst,lane_3,node_12,timerEvent,timerEvent_12,lane_3,sequenceFlow,0.998
node_4,messageEvent,messageEvent_4,lane_5,node_17,task,Orkpsrre npurnaweHnyio cTpannuy,lane_5,sequenceFlow,0.998
node_5,parallelGateway,>,lane_5,node_0,event,@,lane_5,sequenceFlow,0.998
node_17,task,Orkpsrre npurnaweHnyio cTpannuy,lane_5,node_6,exclusiveGateway,®,lane_5,sequenceFlow,0.998
node_16,task,(SOrnpasure Npurnawesna yuacrankan,lane_6,node_3,messageEvent,messageEvent_3,lane_6,sequenceFlow,0.998
node_9,task,‘Yuacraogats & ‘coamecTHoM penakTupoBaHiy,lane_5,node_5,parallelGateway,>,lane_5,sequenceFlow,0.998
node_14,task,ka Sanars o6veK1 cTpannupi 8 BD,,node_22,task,IpvMeHHTe ‘wa6non J cTpykrypy CTpaHMubl,lane_4,sequenceFlow,0.997
node_22,task,IpvMeHHTe ‘wa6non J cTpykrypy CTpaHMubl,lane_4,node_16,task,(SOrnpasure Npurnawesna yuacrankan,lane_6,sequenceFlow,0.997
node_8,messageEvent,messageEvent_8,,node_14,task,ka Sanars o6veK1 cTpannupi 8 BD,,sequenceFlow,0.997
node_15,task,AobasuTe avanti kourenT (Texcr, ‘6noKn, cbaiinti),,lane_3,node_23,subProcess,© Tpurnacut ywacrHnkos / yeraHoaur —” nocrynt,lane_3,sequenceFlow,0.997
node_1,event,-_ Ne,lane_3,node_19,task,ICosgare Hoayio cTpannuy,lane_3,sequenceFlow,0.997
node_3,messageEvent,messageEvent_3,lane_6,node_11,task,fess ixsponna0eart vaMeHeHAR,lane_6,sequenceFlow,0.997
node_2,parallelGateway,>,lane_2,node_20,task,CoanecrHoe DenakTuposaHne cTpaHnuss,lane_2,sequenceFlow,0.993
node_10,task,a Cosnars nycryic cTpannuy,lane_3,node_15,task,AobasuTe avanti kourenT (Texcr, ‘6noKn, cbaiinti),,lane_3,sequenceFlow,0.992
node_19,task,ICosgare Hoayio cTpannuy,lane_3,node_8,messageEvent,messageEvent_8,,messageFlow,0.991
node_12,timerEvent,timerEvent_12,lane_3,node_2,parallelGateway,>,lane_2,sequenceFlow,0.98
node_2,parallelGateway,>,lane_2,node_9,task,‘Yuacraogats & ‘coamecTHoM penakTupoBaHiy,lane_5,sequenceFlow,0.972
node_5,parallelGateway,>,lane_5,node_11,task,fess ixsponna0eart vaMeHeHAR,lane_6,sequenceFlow,0.961
node_18,task,oN Fpmenuts ui6paHHth wa6now oo,lane_3,node_15,task,AobasuTe avanti kourenT (Texcr, ‘6noKn, cbaiinti),,lane_3,sequenceFlow,0.948
node_13,task,Mpocmarpneare cTpannuy,lane_5,node_0,event,@,lane_5,sequenceFlow,0.937
node_20,task,CoanecrHoe DenakTuposaHne cTpaHnuss,lane_2,node_5,parallelGateway,>,lane_5,sequenceFlow,0.865
node_7,exclusiveGateway,>,lane_3,node_18,task,oN Fpmenuts ui6paHHth wa6now oo,lane_3,sequenceFlow,0.796
node_16,task,(SOrnpasure Npurnawesna yuacrankan,lane_6,node_4,messageEvent,messageEvent_4,lane_5,dataAssociation,0.709
node_5,parallelGateway,>,lane_5,node_9,task,‘Yuacraogats & ‘coamecTHoM penakTupoBaHiy,lane_5,sequenceFlow,0.697
node_16,task,(SOrnpasure Npurnawesna yuacrankan,lane_6,node_4,messageEvent,messageEvent_4,lane_5,messageFlow,0.656
